,name,type,price,expert_score,user_rating,distillery_loc,description,age,abv,style,cask,review,smoky,peaty,spicy,herbal,oily,full-bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
0,"
Hibiki 21 Year
",Blended,"['cost-5', 'spirit-cost']","
99

",4.52,"
Suntory // Japan
","Hibiki is the blended whisky brand produced by Suntory. Combining their two single malt whiskies, Hakushu and Yamazaki, with their corn-based grain whisky, Chita, they create something completely their own. Utilizing a mix of American, European, and Japanese wood this aged a minimum of 21 years and bottled at 86 proof. This is being slowly released to a couple of US major markets at the end of 2014 and then further expanding to the rest of the country for 2015 along with their 17 year-old version.
",21 Year,43.0,Comprised of both single malt(s) and single grain(s) often from many different distilleries; if Scotch or Irish must be aged for at least three years in oak barrels; Irish may include single pot still whiskey in the blend.,"ex-bourbon American oak, ex-sherry European oak, Japanese mizunara","""Tasting this whisky was one of those moments where your surroundings come to a halt and all of your senses are heightened. There is a beautiful marriage of grain and fruit expressed in this whisky. The sherry casks are quite evident with stone fruit and cherry mixed with warm baking spices and a light floral incense. The malt, however, is standing firm and not being over-powered by the fruit. There is a gentle wisp of smoke with the finish and it acts much like adding salt and pepper to your dish. Kudos to their master blender for a harmonious and elegant whisky.""",30,30,50,30,20,80,80,85,0,15,20,25,85,50
1,"
Highland Park 18 Year
",Peated Single Malt,"['cost-4', 'spirit-cost']","
99

",4.49,"
Highland Park // Islands, Scotland
","Shudder to think that Highland Park 18 has only been with us since 1997.  What were we drinking instead? With the highest of accolades awarded in the whisky world under their belt, one wonders what is their secret to success.  The selection and creation of the casks has to be part of the recipe.  Using both European and American oak, casks are built to their specifications and sent off to Jerez to be filled with Oloroso Sherry.  Three years later, they get them back and the journey begins.",18 Year,43.0,100% malted barley from a single distillery. Dried with peat.,ex-sherry,"""The sweet smoke is the underlying feature in this whisky but the complexity of the dram is what is most enjoyable. Among the many notes found were oyster mushrooms, fresh cut apples, kelp, cigar ash, honey, sea salt, and smoked bacon.  Velvety and indulgent, the whisky finishes on the dry side with mouthwatering acidity.""",40,40,40,20,40,70,80,70,20,40,50,50,70,20
2,"
George T. Stagg Bourbon (Fall 2019)
",Bourbon,"['cost-4', 'spirit-cost']","
98

",4.59,"
George T. Stagg // Kentucky, USA
","George T. Stagg Bourbon (Fall 2019) is an uncut, unfiltered Kentucky Straight Bourbon Whiskey and is one of the five bottlings in the Buffalo Trace Antique Collection released each fall. Due to many of the barrels having matured on the lower levels of the warehouses, this year's edition is the lowest proof release of Stagg to date. However, it is still a healthy 116.9 proof. ",NAS,58.45,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Lots of oak shows up on the nose along with char smoke and carnival candy--think popcorn, funnel cakes, and caramel-covered red apples. Moving on to the taste, it is less sweet than the nose may suggest displaying a savoriness that makes you just want to dive in. Water isn't necessary here, but if you do prefer it, just add a touch. The finish lasts for days so you can take your time with this one. Top pick in the BTAC for 2019, despite its lower than usual proof. """,40,40,65,50,20,60,60,45,0,0,60,60,45,0
3,"
Bowmore Mizunara Cask Finish
",Peated Single Malt,"['cost-5', 'spirit-cost']","
98

",4.19,"
Bowmore // Islay, Scotland
","This is the first-ever official Islay single malt Scotch to be finished in Japanese Mizunara oak casks. Only 2,000 bottles of this east-meet-west collaboration were produced, since precious few Mizunara oak casks are built, and allotted exclusively for Japanese malts. The whisky in the bottle was selected from casks containing Bowmore Scotch aged 12 - 18 years, finished in the new Mizunara barrels for a few months. It is bottled at cask-strength. ",NAS,53.9,100% malted barley from a single distillery. Dried with peat.,"ex-bourbon, ex-sherry, new Mizunara oak","""Though the time in Mizunara oak was relatively short, it had a profound and unique impact on the whisky. Bowmore tends to be dark, nutty, rich and smoky, however this expression tastes like Islay was invaded by a Carmen Miranda-style-tropical-fruit-dance-routine! Then wild mushroom, earthy walnut and flavors akin to miso soup give it an almost brothy quality on the midpalate. Spices abound with ginger, cardamom, clove and cinnamon. The characteristic peat smoke is merely a backup singer here, adding to dark chocolate notes as all these flavor nuances ride off into an elegant aftertaste that reminds of the sort of rancio one encounters in a fine Cognac. All of this to say this is a highly distinctive and unusual Scotch that's a true pleasure to taste. """,30,30,40,30,10,75,75,60,15,20,30,20,50,5
4,"
The Macallan M
",Single Malt,"['cost-5', 'spirit-cost']","
98

",4.19,"
The Macallan // Highlands, Scotland
","A 6-litre Lalique decanter of this single malt holds the Guinness World Records™ for the “most expensive whisky sold at auction” selling for the equivalent of $628,000 dollars. It took the Macallan’s master whisky maker, Bob Dalgarno, two years to source whiskies dating from 1940 to 1991. This blend contains some of the last whiskies barreled before the distillery ceased production at the onset of World War II and some very rare 1947 peated malts. The distillery briefly used peat due to post-war coal rationing and its relative high costs.   ",NAS,47.7,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",sherry oak casks,"""The aroma is that pleasing bouquet that comes from a small book store with oak shelves filled with rare first editions. Wood smoke swirls beneath aged port with baking spices, citrus, and fruitcake adding layers of depth to the nose. The viscous whisky coats the mouth without being gummy and your taste buds give a round of applause in appreciation. Chocolate, allspice, sherry, leather and citrus flavors keep them on their feet well into the finish. Pipe tobacco, oak, more dried fruits, and citrus climb slow and steady then drift away like a war hero walking into the sunset. If you have a few thousand piggy banks, this is the whisky that justifies taking a hammer to them so you can acquire a bottle.  """,50,50,60,0,15,90,100,50,0,0,20,20,80,10
5,"
Port Ellen 32 Year 1979 (2012 Special Release)
",Peated Single Malt,"['cost-5', 'spirit-cost']","
98

",4.95,"
Port Ellen // Islay, Scotland
","Port Ellen is one of those tragic casualties of the Scotch industry, an Islay distillery fallen on bad times and forced to shutter in 1983. The remaining barrels it left behind have become some of the most sought after of all Scotch. This particular expression is bottled by Diageo as one of their annual Special Releases (2012), initially with 2,964 bottles for sale. It was matured in American oak and refill European oak.",32 Year,52.5,100% malted barley from a single distillery. Dried with peat.,"American oak, refill European oak ","""The nose is surprisingly sweet and fruity, yet the palate tells a different story. It basically tastes of a group of sea shanty-singing codgers puffing pipe tobacco as their woolen sweaters dry by the bonfire. Dried fruits,  toffee and pretzels are passed around for snacks, as well as some cured beef jerky, and the layers of flavor keep evolving, especially with a drop or two of water. This is the Scotch Quint deserved to sip on before he met his untimely demise in Jaws, had he any access to it. Don't pour any out for him, though. You'll want to savor every precious drop!""",70,70,20,10,20,80,80,60,15,5,40,25,50,0
6,"
Thomas H. Handy Sazerac Rye (Fall 2015)
",Rye,"['cost-3', 'spirit-cost']","
98

",4.68,"
Thomas H. Handy // Kentucky, USA
","This rye is named for the genius 19th century New Orleans bartender who first used rye in the classic Sazerac cocktail, (previously made with Cognac.) This uncut and unfiltered straight rye is the fraternal twin of the George T. Stagg bourbon, both released at full cask-strength. This edition was distilled in the spring of 2009 and aged on the 4th and 7th floors of Warehouses I, K and M at Buffalo Trace.",6 Year,63.45,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""This whiskey is like a favorite sweater, something with which to look forward to reaching for each autumn. This year's release was a particular delight, with malted chocolate, sweet and peppery spices, basically tasting like the whiskey equivalent of a comforting spiced cocoa. A measure of acidity balances it out beautifully. This very special whiskey begs to be poured and savored slowly, making the best of each precious drop.""",10,10,60,0,10,80,80,80,0,0,50,10,30,20
7,"
William Larue Weller Bourbon (Fall 2015)
",Bourbon,"['cost-3', 'spirit-cost']","
98

",4.7,"
William Larue Weller // Kentucky, USA
","This annual release from Buffalo Trace honors 19th century distiller W.L. Weller, who is credited with being the first to use wheat instead of rye in the mash bill, thus pioneering the ""wheated bourbon"" phenomenon. This edition was distilled in the spring of 2003 and aged on the second and sixth floors of Warehouses I, K and L. At 134.6 proof, this is one of its most potent presentations.",12 Year,67.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""As you taste this bourbon you may be reminded of the dessert scene in ""Young Frankenstein"" when Igor is accused of making ""yummy sounds."" Vanilla, milk chocolate, almond and Bing cherries (collectively, the flavors of a tonka bean if you've ever tasted them) waft from the glass and onto the palate. Comforting, buttery shortbread, honeysuckle and the most delicate acidity of lemon oil follow. Given its considerable proof, it's hardly noticeable, perhaps distracted by its truly yummy and balanced flavors. Mmmmmmmm.""",10,10,30,0,30,80,80,80,0,0,60,10,40,20
8,"
The Balvenie Tun 1509 Batch 1
",Single Malt,"['cost-5', 'spirit-cost']","
98

",4.61,"
The Balvenie // Speyside, Scotland
","To create the first batch of Tun 1509, The Balvenie Malt Master David Stewart hand-selected 42 of the finest casks from the distillery's aged stocks. The liquid is a combination of selected whiskies thatspan over several decades of the distillery's history. 35 of them were matured in traditional American Oak barrels and 7 aged in European oak sherry butts. These were then brought together in Tun 1509 - the vessel in which they rested - and got acquainted before bottling.",NAS,47.1,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon/ex-sherry,"""This is a most delicate and enjoyable whisky. The various casks and decades represented each have a unique story to tell in terms of flavor and aroma that unfold with each sip - milk chocolate, toffee, vanilla, citrus peel, honey, salty pretzels, gingerbread spices, even a fragrant bouquet of spring flowers. It sounds like there's a lot going on, but each of these flavors compliments the other instead of fighting them. It's quite the treat if you can get your hands on it!""",10,10,25,10,15,80,80,80,0,10,40,0,40,20
9,"
Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""
",Bourbon,"['cost-3', 'spirit-cost']","
98

",4.37,"
Booker's // Kentucky, USA
","This is the first in a series of limited edition small batch bourbons from Booker's, honoring founding distiller Booker Noe, who is featured in his rocking chair on the label with his dog Dot at his feet. Also called ""Big Man, Small Batch,"" this release is produced by Fred Noe, 7th generation Master Distiller at Beam. It's batched from 7 different Beam rack houses, and like all of the Booker's editions, it is uncut. Even the distiller's literature suggests serving it with ice or cut with water.","7 y, 2 m,16 d ",64.35,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""The second you put your nose to it, you know it's serious bourbon - sweet corn, caramel, apples and leather. On the palate, the flavors fan out beautifully, with tart apricots, warm spice and even some peanut butter coming into the picture. There's also a pleasant mustiness, the kind seasoned, well rested bourbons tend to have. Seems like 7 years, 2 months and 16 days was exactly the right amount of time for a nap. Even at this super high proof, you hardly feel a burn, although a single ice cube makes it taste even better.""",15,15,35,5,20,80,80,75,0,10,30,20,40,0
10,"
Four Roses Limited Edition Single Barrel Bourbon (2013) 
",Bourbon,"['cost-5', 'spirit-cost']","
98

",4.24,"
Four Roses // Kentucky, USA
","It is bottled using the distillery's OBSK recipe which uses a mash bill that has a higher rye content for a bourbon (60% corn, 35% rye, 5% malted barley) and also a yeast strain that highlights a spicy, full bodied whiskey. Variations may occur as is the nature of single barrel bourbons. The bottle that was tasted was from warehouse B5 and Barrel No. 3-3B. It was bottled at 59.8% and was aged for 13 years.
",13 Year,59.8,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Hot on the nose with hints of rye bread, maple and peppermint. Coming in at barrel proof this whiskey does well with a touch of water to open up the aromas. Touches of lemon rind, green fig and nutmeg come through once opened. On the palate, chocolate, peppermint and maple are followed by a mild and ripe stone-fruit characteristic. The finish is long with woody notes and baking spices lingering throughout. 
""",30,30,80,40,40,90,90,70,0,30,10,0,60,10
11,"
The Macallan Rare Cask 
",Single Malt,"['cost-5', 'spirit-cost']","
98

",4.55,"
The Macallan // Highlands, Scotland
","Macallan Master Blender Bob Dalgarno selected the barrels that go into Rare Cask from mostly first fill sherry casks that have been maturing at the distillery. Of more than 1000 barrels, aged in ""... the industry's finest most exclusive and expensive casks,"" only 1% of the whiskies made the cut and were chosen for their color and depth of flavor. The bottles are presented in a swank gatefold box.",NAS,43.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",first fill sherry,"""Considering all the contact with first fill sherry casks, this is an extremely elegant and restrained sherried whisky. Dark cherry, dates and raisins provide the fruit flavors, with rich flavors of vanilla, dark chocolate and toffee. Lemon peel and clove cut the richness beautifully with a hint of ginger. The finish goes on for many miles ahead. Don't drink this as your opening act - it would be unfair to most anything served after it.""",5,5,25,5,15,85,85,80,0,0,35,10,40,10
